CMDLINE /Users/williamcrupi/anaconda3/bin/python db_gui.py
MEM 0.093750 1697246985.6114
MEM 14.007812 1697246985.7282
MEM 17.699219 1697246985.8404
MEM 31.867188 1697246985.9563
MEM 32.312500 1697246986.0711
MEM 35.703125 1697246986.1885
MEM 43.582031 1697246986.3062
MEM 50.902344 1697246986.4213
MEM 62.281250 1697246986.5367
MEM 67.304688 1697246986.6593
MEM 75.554688 1697246986.7739
MEM 75.566406 1697246986.8900
MEM 75.566406 1697246987.0092
MEM 75.566406 1697246987.1268
MEM 75.566406 1697246987.2464
MEM 75.597656 1697246987.3651
MEM 75.644531 1697246987.4859
MEM 75.644531 1697246987.6063
MEM 75.671875 1697246987.7242
MEM 75.671875 1697246987.8438
MEM 75.671875 1697246987.9627
MEM 75.671875 1697246988.0812
MEM 75.671875 1697246988.2026
MEM 75.679688 1697246988.3231
MEM 75.710938 1697246988.4409
MEM 75.710938 1697246988.5617
MEM 75.710938 1697246988.6834
MEM 75.710938 1697246988.8061
MEM 75.710938 1697246988.9260
MEM 75.710938 1697246989.0456
MEM 75.726562 1697246989.1671
MEM 75.726562 1697246989.2875
MEM 75.886719 1697246989.4072
MEM 75.894531 1697246989.5247
MEM 75.894531 1697246989.6454
MEM 75.894531 1697246989.7653
MEM 75.894531 1697246989.8865
MEM 75.894531 1697246990.0067
MEM 75.906250 1697246990.1286
MEM 75.906250 1697246990.2476
MEM 75.906250 1697246990.3667
MEM 76.000000 1697246990.4868
MEM 76.000000 1697246990.6060
MEM 76.000000 1697246990.7270
MEM 76.000000 1697246990.8486
MEM 76.000000 1697246990.9673
MEM 76.156250 1697246991.0872
MEM 76.156250 1697246991.2061
MEM 76.156250 1697246991.3232
MEM 76.160156 1697246991.4456
MEM 76.164062 1697246991.5682
MEM 76.140625 1697246991.6901
MEM 76.140625 1697246991.8086
MEM 76.156250 1697246991.9250
MEM 76.156250 1697246992.0432
MEM 76.156250 1697246992.1603
MEM 76.156250 1697246992.2810
MEM 76.156250 1697246992.4019
MEM 76.187500 1697246992.5185
MEM 76.187500 1697246992.6388
MEM 76.210938 1697246992.7568
MEM 76.210938 1697246992.8766
MEM 76.214844 1697246992.9954
MEM 76.214844 1697246993.1153
MEM 76.214844 1697246993.2370
MEM 76.214844 1697246993.3572
MEM 76.394531 1697246993.4756
MEM 76.394531 1697246993.5957
MEM 76.394531 1697246993.7166
MEM 76.394531 1697246993.8385
MEM 76.394531 1697246993.9565
MEM 76.398438 1697246994.0759
MEM 76.398438 1697246994.1952
MEM 76.398438 1697246994.3114
MEM 76.511719 1697246994.4279
MEM 76.515625 1697246994.5448
MEM 76.515625 1697246994.6655
MEM 76.515625 1697246994.7854
MEM 76.523438 1697246994.9060
MEM 76.523438 1697246995.0233
MEM 76.554688 1697246995.1447
MEM 76.558594 1697246995.2662
MEM 76.558594 1697246995.3876
MEM 76.667969 1697246995.5060
MEM 76.667969 1697246995.6233
MEM 76.667969 1697246995.7455
MEM 76.675781 1697246995.8627
MEM 76.628906 1697246995.9804
MEM 76.628906 1697246996.1023
MEM 76.628906 1697246996.2236
MEM 76.628906 1697246996.3410
MEM 76.691406 1697246996.4629
MEM 76.691406 1697246996.5798
MEM 76.691406 1697246996.6956
MEM 76.695312 1697246996.8157
MEM 76.773438 1697246996.9304
MEM 76.773438 1697246997.0461
MEM 76.773438 1697246997.1630
MEM 76.777344 1697246997.2829
MEM 76.777344 1697246997.4019
MEM 76.777344 1697246997.5217
MEM 76.777344 1697246997.6399
MEM 76.777344 1697246997.7595
MEM 77.046875 1697246997.8769
MEM 77.046875 1697246997.9961
MEM 77.046875 1697246998.1188
MEM 77.046875 1697246998.2388
MEM 77.046875 1697246998.3570
MEM 77.046875 1697246998.4769
MEM 77.050781 1697246998.5976
MEM 77.386719 1697246998.7146
MEM 77.386719 1697246998.8366
MEM 77.386719 1697246998.9565
MEM 77.386719 1697246999.0761
MEM 77.386719 1697246999.1964
MEM 77.386719 1697246999.3170
MEM 77.386719 1697246999.4388
MEM 77.386719 1697246999.5563
MEM 77.386719 1697246999.6780
MEM 77.429688 1697246999.7964
MEM 77.429688 1697246999.9180
MEM 77.429688 1697247000.0301
MEM 77.429688 1697247000.1473
MEM 77.429688 1697247000.2667
MEM 77.429688 1697247000.3873
MEM 77.429688 1697247000.5070
MEM 77.429688 1697247000.6265
MEM 77.429688 1697247000.7464
MEM 77.429688 1697247000.8639
MEM 77.429688 1697247000.9832
MEM 77.441406 1697247001.1002
MEM 77.441406 1697247001.2206
MEM 77.441406 1697247001.3389
MEM 77.453125 1697247001.4621
MEM 77.453125 1697247001.5797
MEM 77.457031 1697247001.7014
MEM 77.460938 1697247001.8241
MEM 77.460938 1697247001.9408
MEM 77.460938 1697247002.0596
MEM 77.464844 1697247002.1768
MEM 77.468750 1697247002.2963
MEM 77.468750 1697247002.4178
MEM 77.472656 1697247002.5368
MEM 77.472656 1697247002.6569
MEM 77.472656 1697247002.7758
MEM 77.480469 1697247002.8946
MEM 77.492188 1697247003.0121
MEM 77.492188 1697247003.1345
MEM 77.492188 1697247003.2559
MEM 77.496094 1697247003.3756
MEM 77.507812 1697247003.4959
MEM 77.511719 1697247003.6174
MEM 77.511719 1697247003.7369
MEM 77.519531 1697247003.8553
MEM 77.519531 1697247003.9723
MEM 77.519531 1697247004.0923
MEM 77.523438 1697247004.2099
MEM 77.523438 1697247004.3284
MEM 77.523438 1697247004.4506
MEM 77.523438 1697247004.5683
MEM 77.523438 1697247004.6903
MEM 77.523438 1697247004.8117
MEM 77.523438 1697247004.9323
MEM 77.523438 1697247005.0532
MEM 77.523438 1697247005.1754
MEM 77.523438 1697247005.2959
MEM 77.523438 1697247005.4169
MEM 77.523438 1697247005.5378
MEM 77.523438 1697247005.6571
MEM 77.523438 1697247005.7796
MEM 77.523438 1697247005.9020
MEM 77.523438 1697247006.0230
MEM 77.527344 1697247006.1402
MEM 77.527344 1697247006.2584
MEM 77.531250 1697247006.3796
MEM 77.531250 1697247006.5006
MEM 77.542969 1697247006.6214
MEM 77.550781 1697247006.7392
MEM 77.550781 1697247006.8563
MEM 77.550781 1697247006.9775
MEM 77.550781 1697247007.0954
MEM 77.554688 1697247007.2165
MEM 77.554688 1697247007.3374
MEM 77.558594 1697247007.4558
MEM 77.558594 1697247007.5724
MEM 77.558594 1697247007.6911
MEM 77.562500 1697247007.8068
MEM 77.785156 1697247007.9272
MEM 77.785156 1697247008.0450
MEM 77.785156 1697247008.1663
MEM 77.785156 1697247008.2878
MEM 77.785156 1697247008.4076
MEM 77.785156 1697247008.5248
MEM 77.785156 1697247008.6422
MEM 77.785156 1697247008.7628
MEM 77.785156 1697247008.8798
MEM 77.789062 1697247009.0016
MEM 77.789062 1697247009.1208
MEM 77.789062 1697247009.2401
MEM 77.789062 1697247009.3602
MEM 77.789062 1697247009.4798
MEM 77.792969 1697247009.6026
MEM 77.792969 1697247009.7218
MEM 77.792969 1697247009.8430
MEM 77.792969 1697247009.9633
MEM 77.796875 1697247010.0837
MEM 77.796875 1697247010.2052
MEM 77.800781 1697247010.3224
MEM 77.800781 1697247010.4435
MEM 77.800781 1697247010.5605
MEM 77.804688 1697247010.6789
MEM 77.804688 1697247010.7984
MEM 77.812500 1697247010.9150
MEM 77.812500 1697247011.0368
MEM 77.812500 1697247011.1571
MEM 77.812500 1697247011.2805
MEM 77.812500 1697247011.4021
MEM 77.812500 1697247011.5223
MEM 77.812500 1697247011.6417
MEM 77.812500 1697247011.7630
MEM 77.812500 1697247011.8817
MEM 77.812500 1697247012.0039
MEM 77.812500 1697247012.1267
