英語,数学A,数学B
95,92,81
94.5,98,56
84,87,84
88.5,88,78
72.5,92,86
82,97,75
69.5,97,83
84,70,85
82,97,70
89,88,63
83,93,67
93.5,91,64
95.5,88,58
63,88,98
80,100,64
83.5,84,71
79,97,57
85.5,82,64
72,79,80
97.5,75,54
76,84,62
86,88,66
90,83,65
87,88,50
74,86,82
82,96,51
72.5,80,85
67,86,72
73.5,100,71
86.5,76,67
57,94,73
78.5,94,53
75,83,64
90,71,59
83.5,88,56
91,84,65
79.5,80,65
83,90,64
77,97,54
69,90,73
83.5,83,53
69,89,62
70,89,68
78,83,62
85.5,77,59
83,80,61
84.5,87,56
87.5,83,50
81,85,61
99,97,52
67,74,71
73,77,66
74,80,60
71.5,93,58
65,95,59
84,90,50
93,84,53
80,84,65
80,76,55
76.5,87,70
71,74,59
92,79,50
56,100,71
65.5,80,78
77,88,67
69.5,81,62
72.5,95,60
90.5,71,46
69,80,63
72.5,69,70
77,79,55
84,85,45
61,85,56
65.5,72,66
83.5,79,44
57,81,62
84.5,82,56
65,78,63
73,77,59
75,89,46
70,65,73
82.5,82,45
74,83,50
76,71,50
84.5,55,77
67,64,57
73.5,92,42
77,78,56
75.5,68,60
78.5,74,57
57.5,78,67
57,92,69
70.5,82,52
72,89,47
73.5,73,67
61.5,92,69
71,75,60
74.5,75,46
73,79,63
66,85,42
68,80,52
43,92,69
76,70,58
59.5,64,73
75.5,61,75
70,74,52
71,73,58
71,88,55
67.5,78,37
72,64,54
61.5,75,52
74,68,51
51,75,68
57.5,77,59
65,69,44
78,61,53
79,65,47
61.5,94,59
83.5,70,52
62.5,64,67
57.5,79,63
69.5,63,51
71,76,57
50,73,59
62.5,74,60
60.5,67,55
75,59,65
68.5,63,65
57,82,61
75.5,79,53
29.5,89,65
70.5,75,49
73,76,63
77.5,79,51
77,76,48
61.5,86,47
49.5,90,52
59,73,65
73.5,79,52
55.5,76,60
82.5,63,46
61.5,81,63
59.5,78,55
52,95,46
60.5,62,62
67.5,83,52
69,71,42
73,73,55
72.5,65,56
70.5,89,49
67.5,73,52
62,72,62
69,66,49
61.5,61,62
87.5,68,30
63,71,46
66.5,69,59
64,72,49
78,54,52
77.5,62,44
70,70,42
70.5,70,45
45.5,81,53
69.5,62,48
74,66,56
63,73,56
73,79,43
69.5,50,64
79,65,30
75.5,58,51
63.5,58,61
62.5,61,57
36.5,74,57
54,70,65
83.5,61,46
77,65,58
71.5,61,36
66.5,58,49
77,78,48
41.5,70,46
86.5,62,45
71,55,47
79,48,49
55,70,52
72.5,64,39
67,93,49
66,65,37
57,58,53
46.5,63,60
74.5,67,51
65,60,53
65.5,67,47
54.5,64,56
64,56,50
44,79,55
58.5,58,51
56.5,64,48
79.5,64,24
41,68,59
65,57,52
71,57,47
72.5,50,57
74.5,83,45
47,85,63
43,71,60
55.5,51,60
39,71,64
49.5,75,43
74,54,43
39,79,40
70,46,62
73,60,56
51.5,78,44
59.5,75,44
63.5,64,47
75.5,48,38
67.5,69,52
58.5,67,43
69.5,51,51
47.5,66,57
63.5,73,36
76.5,51,55
69.5,57,46
50.5,66,47
60.5,60,55
68.5,52,42
45,76,43
55,62,47
69.5,53,47
50.5,66,55
71.5,51,41
60.5,70,43
39.5,60,61
52.5,61,47
67.5,53,42
39.5,56,62
45,78,61
57,52,49
75,53,32
50.5,67,58
73,59,51
69.5,62,46
64,63,47
56,66,44
46.5,87,28
84.5,37,40
52,83,58
55.5,70,54
51,59,51
35,58,55
44,68,64
47.5,58,51
34.5,66,56
74.5,53,29
46,73,30
83,36,33
56,57,49
76,64,38
69,60,42
60,54,36
40.5,69,65
73.5,38,36
49.5,63,58
58.5,61,52
57.5,50,47
49.5,56,57
62,49,43
57.5,65,34
56,45,39
36,57,58
63.5,42,37
38,69,44
54,59,43
42,65,55
50,61,43
68.5,52,35
44.5,64,55
39,65,43
54.5,58,48
77,60,39
77.5,49,41
39,64,54
68.5,42,52
55,38,58
57,67,37
62,54,39
39,43,53
54,72,35
49,67,40
35,75,64
63.5,60,41
60.5,43,34
65.5,54,34
65,59,34
59,47,55
42,39,55
65,62,53
44,63,47
49.5,51,53
28,59,50
53.5,59,40
68,58,32
56,44,41
61.5,48,39
39.5,56,60
50.5,61,39
54.5,41,58
40.5,77,47
58.5,39,41
48.5,52,44
47.5,52,53
39.5,60,53
55,41,28
37.5,61,38
42,47,46
49,40,49
54,38,27
55.5,41,35
45,46,55
59,27,49
49.5,60,45
38.5,60,55
51,48,38
42,46,53
31,55,53
19,60,36
33.5,48,46
41.5,62,42
53.5,44,33
54,41,38
42.5,56,44
50.5,45,45
62.5,46,33
38,60,33
67.5,50,25
25,64,34
40.5,32,46
48.5,57,40
66,59,25
44,42,30
62.5,55,0
44.5,43,35
48,42,33
41.5,58,36
54,46,44
37.5,47,46
67,33,32
48.5,34,32
36,53,27
54,40,40
26.5,40,45
60.5,47,24
62.5,43,28
61.5,30,34
34,54,27
31,50,33
25.5,30,55
36,36,33
39.5,63,23
53.5,39,48
58.5,27,20
27.5,39,49
40,34,31
38,52,33
30,52,38
36,39,47
55.5,25,37
23.5,40,40
44,46,21
40.5,21,47
31.5,32,40
21.5,34,43
23,36,41
48,30,25
23.5,54,29
28.5,45,46
26,45,32
43,24,19
38.5,34,34
33,26,30
23.5,52,27
23,15,42
65,35,20
32,28,23
16,25,35
34.5,20,26
41.5,40,31
38,29,22
28.5,30,22
24.5,23,27
24,42,0
27.5,21,34
23.5,26,22
19.5,17,23
32,28,22
